county_name,age_group,fertility_rate
Dunn,25-29,0.7955464024512762
Eddy,25-29,1.0405947018262254
Emmons,25-29,0.956348567805607
Foster,25-29,0.8474016499973878
Golden Valley,25-29,0.596973567805607
Grand Forks,25-29,0.6357002033196255
Grant,25-29,1.1390931330229983
Griggs,25-29,0.7458706266291364
Hettinger,25-29,0.7178189435281503
Kidder,25-29,0.84671096276359
LaMoure,25-29,1.0105765089820775
Logan,25-29,1.2311647442761953
McHenry,25-29,0.8512451505394198
McIntosh,25-29,0.7919403819648989
McKenzie,25-29,0.8129625236289002
McLean,25-29,0.8323052004586682
Mercer,25-29,0.7832009433712177
Morton,25-29,0.7234616630437021
Mountrail,25-29,0.7272801715791919
Nelson,25-29,0.9308551467529753
Oliver,25-29,0.9907235678056068
Pembina,25-29,0.8222534185518755
Pierce,25-29,0.915723567805607
Ramsey,25-29,0.6851762305275004
Ransom,25-29,0.8261827514790763
Renville,25-29,0.7962907946963633
Richland,25-29,0.7296728431679258
Rolette,25-29,0.8233848581281875
Sargent,25-29,0.9125372932958031
Sheridan,25-29,1.2393346789167181
Sioux,25-29,0.9609441560409011
Slope,25-29,1.0475784065152844
Stark,25-29,0.7332258210728444
Steele,25-29,1.0352003119916533
Stutsman,25-29,0.7135556711266402
Towner,25-29,1.059802515174028
Traill,25-29,0.7898863853575699
Walsh,25-29,0.8724096143172348
Ward,25-29,0.6797131493451283
Wells,25-29,0.9096606935541098
Williams,25-29,0.805663100749727
Adams,30-34,0.5952501544800403
Barnes,30-34,0.5179408362209171
Benson,30-34,0.6842419665716787
Billings,30-34,0.6218373281829085
Bottineau,30-34,0.5517113334879482
Bowman,30-34,0.4883168791051217
Burke,30-34,0.5955050397816545
Burleigh,30-34,0.5741693491235046
Cass,30-34,0.5831177429344714
Cavalier,30-34,0.5564031777882263
Dickey,30-34,0.5093578536344684
Divide,30-34,0.578954923231538
Dunn,30-34,0.5981856924623072
Eddy,30-34,0.5805574873341021
Emmons,30-34,0.6323737266503414
Foster,30-34,0.5637796223419513
Golden Valley,30-34,0.6612969798003987
Grand Forks,30-34,0.5847905284417089
Grant,30-34,0.6256485804515111
Griggs,30-34,0.5484734998929718
Hettinger,30-34,0.5346658789424937
Kidder,30-34,0.5611176880029984
LaMoure,30-34,0.571809063626662
Logan,30-34,0.49690364118025593
McHenry,30-34,0.47309305869915314
McIntosh,30-34,0.42349358666783915
McKenzie,30-34,0.5319340783689666
McLean,30-34,0.605620539036498
Mercer,30-34,0.5892113334879483
Morton,30-34,0.5837421706586284
Mountrail,30-34,0.5136868579634727
Nelson,30-34,0.6706336847216203
Oliver,30-34,0.5933599938163838
Pembina,30-34,0.4898418505119078
Pierce,30-34,0.5487707061541169
Ramsey,30-34,0.5000943411555218
Ransom,30-34,0.5245959488725637
Renville,30-34,0.5841041455938751
Richland,30-34,0.5317259937156129
Rolette,30-34,0.5254104285105726
Sargent,30-34,0.5648232215998363
Sheridan,30-34,0.47959594887256357
Sioux,30-34,0.4756760882453859
Slope,30-34,0.5379292822058969
Stark,30-34,0.5776376579264803
Steele,30-34,0.5457724194607989
Stutsman,30-34,0.48120815867479916
Towner,30-34,0.6908028454242878
Traill,30-34,0.5786700229466377
Walsh,30-34,0.6019781478254432
Ward,30-34,0.534199971499842
Wells,30-34,0.4685012743163505
Williams,30-34,0.5911207715675991
Adams,35-39,0.2656080873460807
Barnes,35-39,0.15238899309883475
Benson,35-39,0.3271697784591092
Billings,35-39,0.18898270034917675
Bottineau,35-39,0.21980849220438034
Bowman,35-39,0.26046692317738085
Burke,35-39,0.2522042506515406
Burleigh,35-39,0.2232243911474652
Cass,35-39,0.24193347651257482
Cavalier,35-39,0.25078463631343584
Dickey,35-39,0.2446265795224677
Divide,35-39,0.20859054348643163
Dunn,35-39,0.23757605073280844
Eddy,35-39,0.21839446505505908
Emmons,35-39,0.22295835957838567
