county_name,age_group,sex,adjustment
Dickey,30-34,male,-4.64564544829161
Divide,30-34,male,-2.183850424410586
Dunn,30-34,male,-4.963296419114968
Eddy,30-34,male,-3.0573905941748207
Emmons,30-34,male,-3.0176842228219005
Foster,30-34,male,-4.010343506644894
Golden Valley,30-34,male,-1.7470803395284689
Grand Forks,30-34,male,-131.70603377763481
Grant,30-34,male,-1.9853185676459872
Griggs,30-34,male,-2.620620509292703
Hettinger,30-34,male,-2.501501395233944
Kidder,30-34,male,-2.620620509292703
LaMoure,30-34,male,-3.652986164468617
Logan,30-34,male,-1.3500166259992714
McHenry,30-34,male,-4.486819962879931
McIntosh,30-34,male,-2.501501395233944
McKenzie,30-34,male,-31.884216196394554
McLean,30-34,male,-8.338337984113148
Mercer,30-34,male,-7.226559586231393
Morton,30-34,male,-45.02702511421099
Mountrail,30-34,male,-15.723723055756219
Nelson,30-34,male,-3.09709696552774
Oliver,30-34,male,-1.1514847692346726
Pembina,30-34,male,-6.39272578782008
Pierce,30-34,male,-4.010343506644894
Ramsey,30-34,male,-12.944277061051837
Ransom,30-34,male,-6.789789501349277
Renville,30-34,male,-2.5412077665868638
Richland,30-34,male,-18.7017009072252
Rolette,30-34,male,-12.864864318345997
Sargent,30-34,male,-5.042709161820808
Sheridan,30-34,male,-1.3103102546463514
Sioux,30-34,male,-5.241241018585406
Slope,30-34,male,-0.6353019416467159
Stark,30-34,male,-56.06539635032268
Steele,30-34,male,-1.667667596822629
Stutsman,30-34,male,-28.350349145984698
Towner,30-34,male,-1.7867867108813886
Traill,30-34,male,-9.807473724171178
Walsh,30-34,male,-11.11778397881753
Ward,30-34,male,-135.00166259992713
Wells,30-34,male,-3.13680333688066
Williams,30-34,male,-88.74373997377563
Adams,35-39,male,-2.6920612754245252
Barnes,35-39,male,-10.768245101698101
Benson,35-39,male,-6.4530292337382
Billings,35-39,male,-1.4252089105188663
Bottineau,35-39,male,-7.2448119618042375
Bowman,35-39,male,-3.483844003490562
Burke,35-39,male,-1.93986768376179
Burleigh,35-39,male,-142.91678241591964
Cass,35-39,male,-312.160340540035
Cavalier,35-39,male,-4.829874641202824
Dickey,35-39,male,-5.859192187688673
Divide,35-39,male,-3.087952639457544
Dunn,35-39,male,-6.215494415318389
Eddy,35-39,male,-3.2858983214740527
Emmons,35-39,male,-3.1275417758608457
Foster,35-39,male,-4.473572413573108
Golden Valley,35-39,male,-1.266852364905659
Grand Forks,35-39,male,-115.63986743404466
Grant,35-39,male,-1.4252089105188663
Griggs,35-39,male,-2.216991638584903
Hettinger,35-39,male,-2.8504178210377327
Kidder,35-39,male,-3.0087743666509397
LaMoure,35-39,male,-4.275626731556598
Logan,35-39,male,-1.741922001745281
McHenry,35-39,male,-5.463300823655654
McIntosh,35-39,male,-2.494115593408016
McKenzie,35-39,male,-31.03788294018864
McLean,35-39,male,-11.322493011344328
Mercer,35-39,male,-10.570299419681591
Morton,35-39,male,-47.70490936597872
Mountrail,35-39,male,-14.21249996878536
Nelson,35-39,male,-3.1275417758608457
Oliver,35-39,male,-2.216991638584903
Pembina,35-39,male,-7.75947073504716
Pierce,35-39,male,-4.829874641202824
Ramsey,35-39,male,-14.925104424044793
Ransom,35-39,male,-6.571796642948105
Renville,35-39,male,-2.969185230247638
Richland,35-39,male,-19.002785473584883
Rolette,35-39,male,-11.837151784587249
Sargent,35-39,male,-5.225766005235843
Sheridan,35-39,male,-1.1480849556957533
Sioux,35-39,male,-5.3841225508490504
Slope,35-39,male,-0.3958913640330184
Stark,35-39,male,-61.04644833389144
Steele,35-39,male,-1.543976319728772
Stutsman,35-39,male,-30.91911553097874
Towner,35-39,male,-2.2565807749882048
Traill,35-39,male,-8.630431735919801
Walsh,35-39,male,-12.312221421426873
Ward,35-39,male,-115.87740225246449
Wells,35-39,male,-4.315215867959901
Williams,35-39,male,-91.13419200040083
Adams,40-44,male,-2.133111187493832
Barnes,40-44,male,-12.127132121492712
Benson,40-44,male,-6.991864447896449
Billings,40-44,male,-0.9085473576362618
Bottineau,40-44,male,-6.557341798592151
Bowman,40-44,male,-3.950205902766356
Burke,40-44,male,-3.041658545130094
Burleigh,40-44,male,-148.01421517665537
Cass,40-44,male,-293.26328622137424
Cavalier,40-44,male,-3.831699725683365
Dickey,40-44,male,-5.490786204845234
Divide,40-44,male,-2.607135895825795
Dunn,40-44,male,-5.688296499983552
Eddy,40-44,male,-2.567633836798131
Emmons,40-44,male,-2.646637954853458
Foster,40-44,male,-3.55518531248972
