county,age_group,sex,population,year
Burke,45-49,Male,71.0,2020
Burleigh,45-49,Male,2777.0,2020
Cass,45-49,Male,5090.0,2020
Cavalier,45-49,Male,101.0,2020
Dickey,45-49,Male,132.0,2020
Divide,45-49,Male,60.0,2020
Dunn,45-49,Male,130.0,2020
Eddy,45-49,Male,56.0,2020
Emmons,45-49,Male,77.0,2020
Foster,45-49,Male,96.0,2020
Golden Valley,45-49,Male,39.0,2020
Grand Forks,45-49,Male,1715.0,2020
Grant,45-49,Male,63.0,2020
Griggs,45-49,Male,55.0,2020
Hettinger,45-49,Male,50.0,2020
Kidder,45-49,Male,63.0,2020
LaMoure,45-49,Male,98.0,2020
Logan,45-49,Male,49.0,2020
McHenry,45-49,Male,141.0,2020
McIntosh,45-49,Male,49.0,2020
McKenzie,45-49,Male,440.0,2020
McLean,45-49,Male,272.0,2020
Mercer,45-49,Male,224.0,2020
Morton,45-49,Male,945.0,2020
Mountrail,45-49,Male,278.0,2020
Nelson,45-49,Male,66.0,2020
Oliver,45-49,Male,53.0,2020
Pembina,45-49,Male,170.0,2020
Pierce,45-49,Male,112.0,2020
Ramsey,45-49,Male,272.0,2020
Ransom,45-49,Male,169.0,2020
Renville,45-49,Male,68.0,2020
Richland,45-49,Male,398.0,2020
Rolette,45-49,Male,315.0,2020
Sargent,45-49,Male,120.0,2020
Sheridan,45-49,Male,31.0,2020
Sioux,45-49,Male,94.0,2020
Slope,45-49,Male,13.0,2020
Stark,45-49,Male,916.0,2020
Steele,45-49,Male,60.0,2020
Stutsman,45-49,Male,561.0,2020
Towner,45-49,Male,37.0,2020
Traill,45-49,Male,233.0,2020
Walsh,45-49,Male,296.0,2020
Ward,45-49,Male,1775.0,2020
Wells,45-49,Male,84.0,2020
Williams,45-49,Male,1244.0,2020
Adams,50-54,Male,64.0,2020
Barnes,50-54,Male,311.0,2020
Benson,50-54,Male,151.0,2020
Billings,50-54,Male,30.0,2020
Bottineau,50-54,Male,171.0,2020
Bowman,50-54,Male,74.0,2020
Burke,50-54,Male,71.0,2020
Burleigh,50-54,Male,2744.0,2020
Cass,50-54,Male,4812.0,2020
Cavalier,50-54,Male,102.0,2020
Dickey,50-54,Male,143.0,2020
Divide,50-54,Male,52.0,2020
Dunn,50-54,Male,125.0,2020
Eddy,50-54,Male,58.0,2020
Emmons,50-54,Male,84.0,2020
Foster,50-54,Male,97.0,2020
Golden Valley,50-54,Male,40.0,2020
Grand Forks,50-54,Male,1691.0,2020
Grant,50-54,Male,55.0,2020
Griggs,50-54,Male,74.0,2020
Hettinger,50-54,Male,66.0,2020
Kidder,50-54,Male,82.0,2020
LaMoure,50-54,Male,117.0,2020
Logan,50-54,Male,59.0,2020
McHenry,50-54,Male,169.0,2020
McIntosh,50-54,Male,69.0,2020
McKenzie,50-54,Male,414.0,2020
McLean,50-54,Male,279.0,2020
Mercer,50-54,Male,244.0,2020
Morton,50-54,Male,925.0,2020
Mountrail,50-54,Male,283.0,2020
Nelson,50-54,Male,75.0,2020
Oliver,50-54,Male,56.0,2020
Pembina,50-54,Male,182.0,2020
Pierce,50-54,Male,111.0,2020
Ramsey,50-54,Male,301.0,2020
Ransom,50-54,Male,177.0,2020
Renville,50-54,Male,79.0,2020
Richland,50-54,Male,451.0,2020
Rolette,50-54,Male,309.0,2020
Sargent,50-54,Male,125.0,2020
Sheridan,50-54,Male,58.0,2020
Sioux,50-54,Male,102.0,2020
Slope,50-54,Male,16.0,2020
Stark,50-54,Male,909.0,2020
Steele,50-54,Male,59.0,2020
Stutsman,50-54,Male,656.0,2020
Towner,50-54,Male,80.0,2020
Traill,50-54,Male,212.0,2020
Walsh,50-54,Male,326.0,2020
Ward,50-54,Male,1673.0,2020
Wells,50-54,Male,137.0,2020
Williams,50-54,Male,1177.0,2020
Adams,55-59,Male,90.0,2020
Barnes,55-59,Male,384.0,2020
Benson,55-59,Male,153.0,2020
Billings,55-59,Male,39.0,2020
Bottineau,55-59,Male,251.0,2020
Bowman,55-59,Male,107.0,2020
Burke,55-59,Male,99.0,2020
Burleigh,55-59,Male,2974.0,2020
Cass,55-59,Male,4993.0,2020
Cavalier,55-59,Male,143.0,2020
Dickey,55-59,Male,160.0,2020
Divide,55-59,Male,102.0,2020
Dunn,55-59,Male,153.0,2020
Eddy,55-59,Male,86.0,2020
Emmons,55-59,Male,175.0,2020
Foster,55-59,Male,145.0,2020
Golden Valley,55-59,Male,56.0,2020
Grand Forks,55-59,Male,1949.0,2020
Grant,55-59,Male,98.0,2020
Griggs,55-59,Male,73.0,2020
Hettinger,55-59,Male,103.0,2020
Kidder,55-59,Male,86.0,2020
LaMoure,55-59,Male,171.0,2020
Logan,55-59,Male,75.0,2020
McHenry,55-59,Male,205.0,2020
McIntosh,55-59,Male,89.0,2020
McKenzie,55-59,Male,442.0,2020
McLean,55-59,Male,326.0,2020
Mercer,55-59,Male,346.0,2020
Morton,55-59,Male,1112.0,2020
Mountrail,55-59,Male,322.0,2020
Nelson,55-59,Male,113.0,2020
Oliver,55-59,Male,83.0,2020
Pembina,55-59,Male,279.0,2020
Pierce,55-59,Male,166.0,2020
Ramsey,55-59,Male,434.0,2020
Ransom,55-59,Male,229.0,2020
Renville,55-59,Male,103.0,2020
Richland,55-59,Male,575.0,2020
Rolette,55-59,Male,393.0,2020
Sargent,55-59,Male,171.0,2020
Sheridan,55-59,Male,48.0,2020
Sioux,55-59,Male,123.0,2020
Slope,55-59,Male,17.0,2020
Stark,55-59,Male,1041.0,2020
Steele,55-59,Male,73.0,2020
Stutsman,55-59,Male,775.0,2020
