county,period_start,period_end,deaths
Cavalier,2035,2040,5.366879113223604
Dickey,2035,2040,-20.23476393253941
Divide,2035,2040,-12.005583993811115
Dunn,2035,2040,-107.61436212309081
Eddy,2035,2040,-19.2922170434299
Emmons,2035,2040,2.046480113587222
Foster,2035,2040,-2.430583847832395
Golden Valley,2035,2040,5.689944924944939
Grand Forks,2035,2040,-2441.6496066185136
Grant,2035,2040,12.598747656031037
Griggs,2035,2040,57.35136919061381
Hettinger,2035,2040,17.744669800247948
Kidder,2035,2040,6.126928861744545
LaMoure,2035,2040,-25.44084935336491
Logan,2035,2040,-33.201223108623026
McHenry,2035,2040,-16.49473481329369
McIntosh,2035,2040,58.37862956565982
McKenzie,2035,2040,-1203.6565382266763
McLean,2035,2040,-0.13359734583900718
Mercer,2035,2040,4.4749986692090715
Morton,2035,2040,-724.5145706458443
Mountrail,2035,2040,-484.95142530944486
Nelson,2035,2040,61.759798715817396
Oliver,2035,2040,4.343099100895529
Pembina,2035,2040,92.16107180257495
Pierce,2035,2040,-9.123763968093726
Ramsey,2035,2040,-85.82591723875066
Ransom,2035,2040,-15.243854281273798
Renville,2035,2040,-24.81587656054876
Richland,2035,2040,-52.04282700697149
Rolette,2035,2040,-682.6182822180454
Sargent,2035,2040,5.918324893882755
Sheridan,2035,2040,25.485914022191253
Sioux,2035,2040,-283.9248755311321
Slope,2035,2040,-0.5665929655638138
Stark,2035,2040,-1127.3134850723145
Steele,2035,2040,15.943806229686174
Stutsman,2035,2040,-80.673162631585
Towner,2035,2040,-4.565360679762307
Traill,2035,2040,-91.02156427196269
Walsh,2035,2040,-79.27074214287495
Ward,2035,2040,-2631.0673082053836
Wells,2035,2040,72.6288158305822
Williams,2035,2040,-2967.3050884994627
Adams,2040,2045,18.295294743461113
Barnes,2040,2045,76.67135733064788
Benson,2040,2045,-432.7282358516104
Billings,2040,2045,-9.370218913981489
Bottineau,2040,2045,4.844557038461517
Bowman,2040,2045,-23.843434531702997
Burke,2040,2045,-103.15191558204856
Burleigh,2040,2045,-1223.9822606170274
Cass,2040,2045,-4574.542636317128
Cavalier,2040,2045,0.08478904849516766
Dickey,2040,2045,-26.570133794071126
Divide,2040,2045,-37.67455424496006
Dunn,2040,2045,-136.79884034087263
Eddy,2040,2045,-16.425700448133966
