county,period_start,period_end,births
McLean,2035,2040,630.3113003867627
Mercer,2035,2040,495.09025879587836
Morton,2035,2040,2494.343391977967
Mountrail,2035,2040,985.5255379894334
Nelson,2035,2040,135.98388760694468
Oliver,2035,2040,120.20214941220594
Pembina,2035,2040,287.47967764137536
Pierce,2035,2040,246.24540916738724
Ramsey,2035,2040,682.5438335868603
Ransom,2035,2040,355.9813290572874
Renville,2035,2040,143.71251264069613
Richland,2035,2040,836.3371653525454
Rolette,2035,2040,1108.245533462812
Sargent,2035,2040,204.8830122515908
Sheridan,2035,2040,51.730114169952934
Sioux,2035,2040,409.8943227253552
Slope,2035,2040,49.82737966918488
Stark,2035,2040,2799.5372908914155
Steele,2035,2040,81.54711008471651
Stutsman,2035,2040,1118.2569233927773
Towner,2035,2040,142.58365775324896
Traill,2035,2040,481.71438840810765
Walsh,2035,2040,655.8497730259245
Ward,2035,2040,5494.491650350288
Wells,2035,2040,179.45287786514066
Williams,2035,2040,5259.970884653285
Adams,2040,2045,121.35052058965258
Barnes,2040,2045,470.96092717038573
Benson,2040,2045,661.5402065008367
Billings,2040,2045,90.58327327088682
Bottineau,2040,2045,349.4335472456991
Bowman,2040,2045,206.97961282449572
Burke,2040,2045,230.01360192342588
Burleigh,2040,2045,6970.875605319766
Cass,2040,2045,14596.270130694265
Cavalier,2040,2045,218.45589432811607
Dickey,2040,2045,274.0236657416289
Divide,2040,2045,176.1463640849586
Dunn,2040,2045,365.2297723760069
Eddy,2040,2045,137.89694325859398
Emmons,2040,2045,167.96138138220743
Foster,2040,2045,207.99464914486714
Golden Valley,2040,2045,100.19846859558331
Grand Forks,2040,2045,5018.799003022852
Grant,2040,2045,126.6752874035879
Griggs,2040,2045,116.39803654649744
Hettinger,2040,2045,170.88481099595433
Kidder,2040,2045,129.96095131033675
LaMoure,2040,2045,267.78679044238373
Logan,2040,2045,131.37900217657034
McHenry,2040,2045,305.8302925447573
McIntosh,2040,2045,109.39467045886072
McKenzie,2040,2045,2751.090385360227
McLean,2040,2045,672.6911801137018
Mercer,2040,2045,508.13789133517037
