county_name,age_group,sex,migration_rate
Ransom,60-64,male,0.037867626004866074
Renville,60-64,male,0.011562002743428595
Richland,60-64,male,-0.018628589965953273
Rolette,60-64,male,-0.0766655203786006
Sargent,60-64,male,-0.04336363373239681
Sheridan,60-64,male,-0.011709948353432887
Sioux,60-64,male,-0.15851441058555424
Slope,60-64,male,-0.035746084021252414
Stark,60-64,male,-0.007989014168738309
Steele,60-64,male,0.0887587227073049
Stutsman,60-64,male,-0.027976045993371616
Towner,60-64,male,0.09247024268215466
Traill,60-64,male,-0.044944392864954816
Walsh,60-64,male,0.023057622077742694
Ward,60-64,male,-0.032269209624207665
Wells,60-64,male,9.814606253301297e-05
Williams,60-64,male,-0.0064414399852938155
Adams,65-69,male,0.007979973762640768
Barnes,65-69,male,-0.043879445848840175
Benson,65-69,male,-0.10309487275297625
Billings,65-69,male,-0.04186769980687808
Bottineau,65-69,male,-0.01590078376520501
Bowman,65-69,male,-0.07052022923419055
Burke,65-69,male,-0.035939027560693254
Burleigh,65-69,male,-0.015076620919219064
Cass,65-69,male,-0.03623294543680054
Cavalier,65-69,male,-0.08364222066562521
Dickey,65-69,male,-0.04741079195711102
Divide,65-69,male,0.036718844834468786
Dunn,65-69,male,-0.022196044861212322
Eddy,65-69,male,0.03131229008184587
Emmons,65-69,male,-0.017062680257013258
Foster,65-69,male,-0.005896722337530316
Golden Valley,65-69,male,-0.06818027408953975
Grand Forks,65-69,male,-0.0987026458673948
Grant,65-69,male,-0.007799202534442483
Griggs,65-69,male,0.06985376554503077
Hettinger,65-69,male,-0.03577803166651268
Kidder,65-69,male,-0.04946045173336037
LaMoure,65-69,male,-0.044112125998617344
Logan,65-69,male,-0.0014585061098160886
McHenry,65-69,male,-0.050343574974605294
McIntosh,65-69,male,-0.07421250980268587
McKenzie,65-69,male,-0.01854550310121766
McLean,65-69,male,0.042939865294351495
Mercer,65-69,male,-0.03295603088814249
Morton,65-69,male,-0.026554816749471695
Mountrail,65-69,male,-0.10598216106326
Nelson,65-69,male,0.0006016325156875581
Oliver,65-69,male,0.03750546906509436
Pembina,65-69,male,-0.04560946245353136
Pierce,65-69,male,-0.04440564447914398
Ramsey,65-69,male,-0.01721723448585378
Ransom,65-69,male,-0.04981033869087084
Renville,65-69,male,-0.056626318233492255
Richland,65-69,male,-0.09254205219410319
Rolette,65-69,male,-0.12063569703521798
Sargent,65-69,male,0.0241066966580758
Sheridan,65-69,male,0.03752256682915527
Sioux,65-69,male,-0.18473886699468323
Slope,65-69,male,0.0055301202693812945
Stark,65-69,male,-0.09208654415268053
Steele,65-69,male,-0.07617645657748574
Stutsman,65-69,male,-0.07091972548192456
Towner,65-69,male,-0.09306472958952572
Traill,65-69,male,-0.0350504899635072
Walsh,65-69,male,-0.09061282150229524
Ward,65-69,male,-0.061354509246085286
Wells,65-69,male,0.018130497694973442
Williams,65-69,male,-0.11268969969646969
Adams,70-74,male,-0.07757918243253328
Barnes,70-74,male,-0.04693800156704794
Benson,70-74,male,-0.11005677829652634
Billings,70-74,male,0.11226314735720147
Bottineau,70-74,male,-0.07043693517200524
Bowman,70-74,male,-0.09984003780863503
Burke,70-74,male,-0.17616964121218706
Burleigh,70-74,male,-0.06110176983389722
Cass,70-74,male,-0.07843616110401824
Cavalier,70-74,male,-0.03024487285763465
Dickey,70-74,male,-0.1304746885853906
Divide,70-74,male,-0.1101246403468211
Dunn,70-74,male,-0.11088520197717938
Eddy,70-74,male,-0.17708330751130474
Emmons,70-74,male,-0.10062195117489624
Foster,70-74,male,-0.07444638139597505
Golden Valley,70-74,male,0.018633776404488416
Grand Forks,70-74,male,-0.09072218277381791
Grant,70-74,male,0.04710833696076725
Griggs,70-74,male,-0.07886066081680516
Hettinger,70-74,male,-0.05775927824418007
Kidder,70-74,male,-0.02897511064858915
LaMoure,70-74,male,-0.1116043532372508
Logan,70-74,male,-0.16482879808085715
McHenry,70-74,male,-0.10969119448413558
McIntosh,70-74,male,0.006167325074283789
McKenzie,70-74,male,-0.07818845665162766
McLean,70-74,male,-0.07139786338552524
Mercer,70-74,male,-0.04846226833557679
Morton,70-74,male,-0.06888131273312983
Mountrail,70-74,male,-0.07523404350209928
Nelson,70-74,male,-0.007843933644956736
Oliver,70-74,male,-0.01623168240698604
Pembina,70-74,male,-0.12150196356352705
Pierce,70-74,male,-0.10791926530798993
Ramsey,70-74,male,-0.08742221061962566
Ransom,70-74,male,-0.07193504273230843
Renville,70-74,male,-0.07753550044658511
Richland,70-74,male,-0.07717165493532151
Rolette,70-74,male,-0.15456648466415757
Sargent,70-74,male,-0.08454936410503039
Sheridan,70-74,male,-0.08923225942564336
Sioux,70-74,male,-0.2628652432899956
Slope,70-74,male,-0.10230852345599663
Stark,70-74,male,-0.09706836350918514
Steele,70-74,male,-0.0772398838172205
Stutsman,70-74,male,-0.14371798797062596
Towner,70-74,male,-0.0981159464147995
Traill,70-74,male,-0.11947339758532886
Walsh,70-74,male,-0.08943197475393422
Ward,70-74,male,-0.11064596122670733
Wells,70-74,male,-0.047983536855944545
Williams,70-74,male,-0.13244440479982855
Adams,75-79,male,-0.14347346441948358
Barnes,75-79,male,-0.11800906965025237
Benson,75-79,male,-0.17263213223239898
Billings,75-79,male,0.09158986473284086
Bottineau,75-79,male,-0.1164103203404596
Bowman,75-79,male,-0.039693238672632344
Burke,75-79,male,-0.12404167044702921
Burleigh,75-79,male,-0.03510977553424554
Cass,75-79,male,-0.057804468386868695
Cavalier,75-79,male,-0.14768850771496622
Dickey,75-79,male,-0.15759369090762695
Divide,75-79,male,-0.16228083691383785
Dunn,75-79,male,-0.23938135226842167
Eddy,75-79,male,-0.2249167132605101
Emmons,75-79,male,-0.03187241496308789
Foster,75-79,male,-0.039777482213192376
Golden Valley,75-79,male,-0.2120729221149428
Grand Forks,75-79,male,-0.12089564193535055
Grant,75-79,male,-0.07931969430912027
Griggs,75-79,male,-0.04812456567799625
Hettinger,75-79,male,-0.13346276295222087
Kidder,75-79,male,-0.007890069318598392
LaMoure,75-79,male,-0.039777881510929695
Logan,75-79,male,-0.07825922093096173
McHenry,75-79,male,-0.11271225483270303
McIntosh,75-79,male,-0.1120468186862578
McKenzie,75-79,male,-0.12325650244181982
McLean,75-79,male,-0.13415584204849287
Mercer,75-79,male,-0.12668321883872471
Morton,75-79,male,-0.07704367263852302
Mountrail,75-79,male,-0.24411467884180663
Nelson,75-79,male,-0.16070914777298562
Oliver,75-79,male,-0.12519908946045383
Pembina,75-79,male,-0.07288096914513409
Pierce,75-79,male,-0.0220004764495888
Ramsey,75-79,male,-0.0920249173395713
Ransom,75-79,male,-0.16056898703828215
Renville,75-79,male,-0.10879751062239015
Richland,75-79,male,-0.05808794449313323
Rolette,75-79,male,-0.16401100649132716
Sargent,75-79,male,-0.16263397012289127
Sheridan,75-79,male,-0.1424366751650862
Sioux,75-79,male,-0.08048770350441187
Slope,75-79,male,0.05914779290478685
Stark,75-79,male,-0.07383957089032012
Steele,75-79,male,-0.06324433947045585
Stutsman,75-79,male,-0.133991060508588
Towner,75-79,male,-0.1536939323536693
Traill,75-79,male,-0.12239017545797992
Walsh,75-79,male,-0.13424219348936053
Ward,75-79,male,-0.11052286636567249
Wells,75-79,male,-0.09117874878923053
Williams,75-79,male,-0.19401298668457717
Adams,80-84,male,-0.07159643423870325
Barnes,80-84,male,-0.22644641001786514
Benson,80-84,male,-0.28116954878420203
Billings,80-84,male,-0.0740893206985511
Bottineau,80-84,male,-0.22732624405972793
Bowman,80-84,male,-0.22254963226531108
Burke,80-84,male,-0.2864911341049079
Burleigh,80-84,male,-0.128425552331435
Cass,80-84,male,-0.11238089771486917
Cavalier,80-84,male,-0.09618969723381263
Dickey,80-84,male,-0.20979526047068514
Divide,80-84,male,-0.08942157422521534
Dunn,80-84,male,-0.0641691256296362
Eddy,80-84,male,-0.0768972625344428
Emmons,80-84,male,-0.16329279045766254
Foster,80-84,male,-0.20612437568849862
Golden Valley,80-84,male,-0.20652111037594598
Grand Forks,80-84,male,-0.12529944307647806
Grant,80-84,male,-0.1841942233382094
Griggs,80-84,male,-0.13582412841828614
Hettinger,80-84,male,-0.2623698550582645
Kidder,80-84,male,-0.21605699556041696
LaMoure,80-84,male,-0.2013792301736442
Logan,80-84,male,-0.02352251053089171
McHenry,80-84,male,-0.25363131459155613
McIntosh,80-84,male,-0.11574323133659245
McKenzie,80-84,male,-0.17852539102015638
McLean,80-84,male,-0.13420422413035674
Mercer,80-84,male,-0.2283176566470456
Morton,80-84,male,-0.13474072610916488
Mountrail,80-84,male,-0.20845221809549336
Nelson,80-84,male,-0.25800568698405885
Oliver,80-84,male,-0.2670624916248371
Pembina,80-84,male,-0.1991855422757632
Pierce,80-84,male,-0.20834980597431443
Ramsey,80-84,male,-0.18134384529754424
Ransom,80-84,male,-0.0326200163253113
Renville,80-84,male,-0.2804847303361209
Richland,80-84,male,-0.16225056090673554
Rolette,80-84,male,-0.338934839101052
Sargent,80-84,male,-0.02725730017053682
Sheridan,80-84,male,-0.16551004488208748
Sioux,80-84,male,-0.20024633741666284
Slope,80-84,male,-0.2955684505448639
Stark,80-84,male,-0.16404251576368892
Steele,80-84,male,-0.20610626613453387
Stutsman,80-84,male,-0.1569543061614792
Towner,80-84,male,-0.11811189439273387
Traill,80-84,male,-0.09699298829718238
Walsh,80-84,male,-0.24022214316434212
Ward,80-84,male,-0.14246991773756507
Wells,80-84,male,-0.20556794899823505
Williams,80-84,male,-0.20581847240601364
Adams,85+,male,-0.24385293308986078
Barnes,85+,male,-0.19822433800628608
Benson,85+,male,-0.3031160235730297
Billings,85+,male,0.15285330722062118
Bottineau,85+,male,-0.18740072797648033
Bowman,85+,male,-0.11172301909542721
Burke,85+,male,-0.3538672284512333
Burleigh,85+,male,-0.036471862800287046
Cass,85+,male,-0.06011037079757739
Cavalier,85+,male,-0.2641860694827673
Dickey,85+,male,-0.13557764867244043
Divide,85+,male,-0.17923106843556708
Dunn,85+,male,-0.22205596560205085
Eddy,85+,male,-0.39636002400991743
Emmons,85+,male,-0.17396948604390064
Foster,85+,male,-0.17631461959729647
Golden Valley,85+,male,0.07767361394912874
Grand Forks,85+,male,-0.17547475170257576
Grant,85+,male,-0.21940466088797408
Griggs,85+,male,-0.24489436869794684
Hettinger,85+,male,-0.07474298128622131
Kidder,85+,male,-0.3156174819385977
LaMoure,85+,male,-0.10458709213449258
Logan,85+,male,-0.17412044703920018
McHenry,85+,male,-0.33276912886470833
McIntosh,85+,male,-0.24003792720151984
McKenzie,85+,male,-0.1227278917781115
McLean,85+,male,-0.24090350723909085
Mercer,85+,male,-0.09522170002913788
Morton,85+,male,-0.20457191112651893
Mountrail,85+,male,-0.2390889573770515
Nelson,85+,male,-0.2505909217907528
Oliver,85+,male,-0.04216770934726152
Pembina,85+,male,-0.15794151534714707
Pierce,85+,male,-0.2918419951811517
Ramsey,85+,male,-0.16788960946506262
Ransom,85+,male,-0.003109724373859521
Renville,85+,male,-0.23727951606361286
Richland,85+,male,-0.13005979738017404
Rolette,85+,male,-0.3395151393814032
Sargent,85+,male,-0.3045517804908823
Sheridan,85+,male,-0.08792707197273268
Sioux,85+,male,-0.20067145508943646
