county_name,age_group,sex,population
McIntosh,55-59,male,89
McKenzie,55-59,male,442
McLean,55-59,male,326
Mercer,55-59,male,346
Morton,55-59,male,1112
Mountrail,55-59,male,322
Nelson,55-59,male,113
Oliver,55-59,male,83
Pembina,55-59,male,279
Pierce,55-59,male,166
Ramsey,55-59,male,434
Ransom,55-59,male,229
Renville,55-59,male,103
Richland,55-59,male,575
Rolette,55-59,male,393
Sargent,55-59,male,171
Sheridan,55-59,male,48
Sioux,55-59,male,123
Slope,55-59,male,17
Stark,55-59,male,1041
Steele,55-59,male,73
Stutsman,55-59,male,775
Towner,55-59,male,119
Traill,55-59,male,319
Walsh,55-59,male,428
Ward,55-59,male,1954
Wells,55-59,male,176
Williams,55-59,male,1264
Adams,60-64,male,99
Barnes,60-64,male,471
Benson,60-64,male,222
Billings,60-64,male,42
Bottineau,60-64,male,275
Bowman,60-64,male,137
Burke,60-64,male,100
Burleigh,60-64,male,3065
Cass,60-64,male,4577
Cavalier,60-64,male,162
Dickey,60-64,male,197
Divide,60-64,male,98
Dunn,60-64,male,166
Eddy,60-64,male,106
Emmons,60-64,male,170
Foster,60-64,male,164
Golden Valley,60-64,male,56
Grand Forks,60-64,male,1990
Grant,60-64,male,98
Griggs,60-64,male,84
Hettinger,60-64,male,101
Kidder,60-64,male,104
LaMoure,60-64,male,173
Logan,60-64,male,88
McHenry,60-64,male,232
McIntosh,60-64,male,142
McKenzie,60-64,male,389
McLean,60-64,male,453
Mercer,60-64,male,420
Morton,60-64,male,1159
Mountrail,60-64,male,325
Nelson,60-64,male,152
Oliver,60-64,male,83
Pembina,60-64,male,318
Pierce,60-64,male,156
Ramsey,60-64,male,445
Ransom,60-64,male,187
Renville,60-64,male,109
Richland,60-64,male,692
Rolette,60-64,male,387
Sargent,60-64,male,150
Sheridan,60-64,male,62
Sioux,60-64,male,86
Slope,60-64,male,51
Stark,60-64,male,1034
Steele,60-64,male,88
Stutsman,60-64,male,873
Towner,60-64,male,115
Traill,60-64,male,284
