origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error,category,z_score,horizon_mean_error,horizon_std_error
2010,sdc_2024,2012,2,38033,Golden Valley,1643.5,1758.0,-114.5,-6.5114,Rural,-2.2126690165175917,-0.7731330188679245,2.5933688854030437
2010,sdc_2024,2012,2,38105,Williams,22714.0,24406.0,-1692.0,-6.9328,Bakken,-2.375160362184565,-0.7731330188679245,2.5933688854030437
2020,sdc_2024,2022,2,38007,Billings,946.1,1022.0,-75.9,-7.4244,Rural,-2.5647207455018037,-0.7731330188679245,2.5933688854030437
2010,sdc_2024,2012,2,38053,McKenzie,6445.4,7011.0,-565.6,-8.0669,Bakken,-2.8124679918023032,-0.7731330188679245,2.5933688854030437
2010,sdc_2024,2012,2,38007,Billings,770.7,844.0,-73.3,-8.6869,Rural,-3.0515392644969483,-0.7731330188679245,2.5933688854030437
2015,sdc_2024,2017,2,38053,McKenzie,11409.4,12572.0,-1162.6,-9.2473,Bakken,-3.2676288471067543,-0.7731330188679245,2.5933688854030437
2020,sdc_2024,2023,3,38105,Williams,43294.5,39304.0,3990.5,10.1528,Bakken,2.8931377768466615,-1.4989632075471697,4.027379304502691
2015,sdc_2024,2018,3,38023,Divide,2526.7,2295.0,231.7,10.094,Rural,2.878537711753647,-1.4989632075471697,4.027379304502691
2015,sdc_2024,2018,3,38013,Burke,2341.8,2128.0,213.8,10.0491,Rural,2.867389022592484,-1.4989632075471697,4.027379304502691
2020,sdc_2024,2023,3,38053,McKenzie,15675.4,14282.0,1393.4,9.7563,Bakken,2.794686657639512,-1.4989632075471697,4.027379304502691
2015,sdc_2024,2018,3,38041,Hettinger,2715.5,2479.0,236.5,9.5398,Rural,2.7409296152477145,-1.4989632075471697,4.027379304502691
2020,sdc_2024,2023,3,38061,Mountrail,10135.3,9427.0,708.3,7.5131,Bakken,2.2376991403495325,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38061,Mountrail,7866.8,8739.0,-872.2,-9.9808,Bakken,-2.10604369520645,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38033,Golden Valley,1625.3,1806.0,-180.7,-10.0059,Rural,-2.112276035917924,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38025,Dunn,3510.0,3958.0,-448.0,-11.3176,Bakken,-2.4379717056884602,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38013,Burke,1925.2,2182.0,-256.8,-11.7695,Rural,-2.5501786685376673,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38105,Williams,22872.0,26735.0,-3863.0,-14.4494,Bakken,-3.215598982190225,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38007,Billings,764.5,919.0,-154.5,-16.8092,Rural,-3.8015383292394826,-1.4989632075471697,4.027379304502691
2010,sdc_2024,2013,3,38053,McKenzie,6488.1,7978.0,-1489.9,-18.6746,Bakken,-4.264717945302575,-1.4989632075471697,4.027379304502691
2015,sdc_2024,2019,4,38013,Burke,2368.8,2094.0,274.8,13.1229,Rural,2.935606920747863,-2.4337966981132078,5.299311903158359
2015,sdc_2024,2019,4,38023,Divide,2559.5,2264.0,295.5,13.054,Rural,2.922605232744004,-2.4337966981132078,5.299311903158359
2015,sdc_2024,2019,4,38041,Hettinger,2745.0,2503.0,242.0,9.6679,Rural,2.283635483108791,-2.4337966981132078,5.299311903158359
2015,sdc_2024,2019,4,38075,Renville,2574.7,2358.0,216.7,9.19,Rural,2.1934539635580785,-2.4337966981132078,5.299311903158359
2020,sdc_2024,2024,4,38053,McKenzie,15998.2,14782.0,1216.2,8.2275,Bakken,2.0118266093677435,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38089,Stark,24530.5,28317.0,-3786.5,-13.3717,Bakken,-2.0640233112845965,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38061,Mountrail,7931.4,9340.0,-1408.6,-15.0817,Bakken,-2.386706714573399,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38025,Dunn,3501.4,4140.0,-638.6,-15.4252,Bakken,-2.451526450848079,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38007,Billings,758.4,912.0,-153.6,-16.846,Rural,-2.719636731194705,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38013,Burke,1910.9,2305.0,-394.1,-17.0967,Rural,-2.766944759969268,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38105,Williams,23030.0,29591.0,-6561.0,-22.1724,Bakken,-3.7247483565031714,-2.4337966981132078,5.299311903158359
2010,sdc_2024,2014,4,38053,McKenzie,6530.9,9278.0,-2747.1,-29.6092,Bakken,-5.128100364443619,-2.4337966981132078,5.299311903158359
2015,sdc_2024,2020,5,38079,Rolette,14768.0,12194.0,2574.0,21.1085,Reservation,3.3396886462798405,-4.2133522012578615,7.582099675508519
2015,sdc_2024,2020,5,38023,Divide,2592.4,2195.0,397.4,18.1061,Rural,2.9437033482101955,-4.2133522012578615,7.582099675508519
2015,sdc_2024,2020,5,38085,Sioux,4491.4,3897.0,594.4,15.2532,Reservation,2.5674355434996667,-4.2133522012578615,7.582099675508519
2015,sdc_2024,2020,5,38049,McHenry,6087.8,5336.0,751.8,14.0886,Rural,2.413836929680086,-4.2133522012578615,7.582099675508519
