category,horizon,method,origin_year,mean_signed_pct_error,median_signed_pct_error,std_pct_error,n_counties,n_obs
Bakken,6,m2026,2015,-0.15854000000000035,-2.5691,11.017696518011375,5,5
Bakken,6,sdc_2024,2005,-9.00776,-8.1833,1.993577433409598,5,5
Bakken,6,sdc_2024,2010,-30.064340000000005,-23.9331,11.29336884074013,5,5
Bakken,6,sdc_2024,2015,0.005659999999999954,-2.9994,10.85201268488938,5,5
Bakken,7,m2026,2005,-14.77362,-15.6606,3.615344117369742,5,5
Bakken,7,m2026,2010,-28.29946,-21.1468,11.703597494274998,5,5
Bakken,7,m2026,2015,2.02972,-0.9183,11.499237308491377,5,5
Bakken,7,sdc_2024,2005,-14.203579999999999,-13.3143,3.677337970189849,5,5
Bakken,7,sdc_2024,2010,-27.8197,-20.5868,11.755106866166722,5,5
Bakken,7,sdc_2024,2015,2.3270399999999993,-1.3381,11.429799200904625,5,5
Bakken,8,m2026,2005,-21.546100000000003,-21.5492,4.920472980822066,5,5
Bakken,8,m2026,2010,-27.32372,-20.8521,12.200720542123733,5,5
Bakken,8,m2026,2015,1.0716599999999996,-1.1539,11.70926632407001,5,5
Bakken,8,sdc_2024,2005,-21.00318,-19.1202,5.134815277787508,5,5
Bakken,8,sdc_2024,2010,-26.695119999999996,-20.2473,12.30666058144938,5,5
Bakken,8,sdc_2024,2015,1.4876,-1.54,11.584379634231606,5,5
Bakken,9,m2026,2005,-27.53614,-25.843,7.156928216630372,5,5
Bakken,9,m2026,2010,-29.11572,-21.2684,13.425675756437736,5,5
Bakken,9,m2026,2015,0.42308000000000023,-2.2609,13.084854214014003,5,5
Bakken,9,sdc_2024,2005,-27.029980000000002,-23.3269,7.537347286147826,5,5
Bakken,9,sdc_2024,2010,-28.36316,-20.2602,13.587065075394317,5,5
Bakken,9,sdc_2024,2015,0.9617599999999996,-2.5962,12.930163981288095,5,5
Bakken,10,m2026,2005,-32.95008,-30.6125,9.338272645516408,5,5
Bakken,10,m2026,2010,-31.204919999999998,-26.3956,16.653964637496983,5,5
Bakken,10,sdc_2024,2005,-32.50774,-28.0614,9.595637330735256,5,5
Bakken,10,sdc_2024,2010,-30.33782,-25.3318,16.87664316687415,5,5
Bakken,11,m2026,2005,-37.66198,-34.4312,10.99281628596603,5,5
Bakken,11,m2026,2010,-28.756059999999998,-24.9546,15.916037246060966,5,5
Bakken,11,sdc_2024,2005,-37.193799999999996,-31.727,11.227459302754118,5,5
Bakken,11,sdc_2024,2010,-27.771179999999998,-23.6813,16.16197495332795,5,5
Bakken,12,m2026,2005,-35.86192,-32.1119,11.231480302791791,5,5
Bakken,12,m2026,2010,-27.722819999999995,-24.2909,16.669257691241082,5,5
Bakken,12,sdc_2024,2005,-35.33098,-29.0082,11.574315118485412,5,5
Bakken,12,sdc_2024,2010,-26.63166,-22.8015,16.921822426322763,5,5
Bakken,13,m2026,2005,-35.06094,-31.3393,11.520925570152771,5,5
Bakken,13,m2026,2010,-28.94778,-25.0709,16.735426385873772,5,5
Bakken,13,sdc_2024,2005,-34.480560000000004,-27.8899,11.950526196699458,5,5
Bakken,13,sdc_2024,2010,-27.77142,-23.3785,17.020698140705043,5,5
Bakken,14,m2026,2005,-36.65784,-32.9692,12.936896541017864,5,5
Bakken,14,m2026,2010,-29.88936,-26.4976,17.468780031902632,5,5
Bakken,14,sdc_2024,2005,-36.08642,-29.2928,13.112062161498471,5,5
Bakken,14,sdc_2024,2010,-28.616660000000003,-24.6077,17.792827738389423,5,5
Bakken,15,m2026,2005,-38.4478,-34.9015,16.2985981935564,5,5
Bakken,15,sdc_2024,2005,-37.92396,-32.06,16.041660202516447,5,5
Bakken,16,m2026,2005,-36.27716,-33.8919,15.963262713900312,5,5
Bakken,16,sdc_2024,2005,-35.769780000000004,-30.8128,15.411688828029197,5,5
Bakken,17,m2026,2005,-35.31084,-33.5747,17.20884849991422,5,5
Bakken,17,sdc_2024,2005,-34.85562,-30.271,16.15917771073145,5,5
Bakken,18,m2026,2005,-36.39946,-34.5239,17.473617299603422,5,5
Bakken,18,sdc_2024,2005,-35.96624,-31.0445,16.244478588369653,5,5
Bakken,19,m2026,2005,-37.21952,-36.0307,18.363705880268284,5,5
Bakken,19,sdc_2024,2005,-36.80864,-32.3973,16.91632755204273,5,5
Reservation,1,m2026,2005,-0.6767333333333333,-0.1827,0.9555817617207505,3,3
Reservation,1,m2026,2010,-0.4593,-0.6382,0.45494391962086933,3,3
Reservation,1,m2026,2015,1.3212,0.8158,0.9830177567063577,3,3
Reservation,1,m2026,2020,2.2489333333333335,2.688,1.5377531184599604,3,3
Reservation,1,sdc_2024,2005,-0.7874,-0.3205,0.9227589121758727,3,3
Reservation,1,sdc_2024,2010,-0.585,-0.8125,0.40125103115132305,3,3
Reservation,1,sdc_2024,2015,0.9646333333333333,0.5866,0.9276416890876202,3,3
Reservation,1,sdc_2024,2020,2.2936333333333336,2.6772,1.4883911661029614,3,3
Reservation,2,m2026,2005,-0.6952333333333334,-0.7352,0.37405481327384804,3,3
Reservation,2,m2026,2010,-1.8970666666666667,-2.085,0.3452672201836331,3,3
Reservation,2,m2026,2015,0.8576333333333332,1.0095,0.42924535330429997,3,3
Reservation,2,m2026,2020,2.6432333333333333,1.7411,1.6769155772826887,3,3
Reservation,2,sdc_2024,2005,-0.9040333333333334,-0.8671,0.3899141102003533,3,3
Reservation,2,sdc_2024,2010,-2.1346666666666665,-2.421,0.507069396959956,3,3
Reservation,2,sdc_2024,2015,0.1578,0.2106,0.2094522379923404,3,3
Reservation,2,sdc_2024,2020,2.7596000000000003,1.869,1.650939235707965,3,3
Reservation,3,m2026,2005,-0.8242333333333334,-0.4674,1.0347717252289674,3,3
Reservation,3,m2026,2010,-3.7322666666666664,-3.663,0.5339801151104164,3,3
Reservation,3,m2026,2015,1.2514,2.1397,1.861269510307414,3,3
Reservation,3,m2026,2020,2.9312333333333336,2.1473,2.0145432468262707,3,3
Reservation,3,sdc_2024,2005,-1.1239,-0.6445,1.0905222739586753,3,3
Reservation,3,sdc_2024,2010,-4.067366666666667,-4.1478,0.7162452536201085,3,3
Reservation,3,sdc_2024,2015,0.21109999999999998,0.9579,1.5151668950976984,3,3
Reservation,3,sdc_2024,2020,3.140833333333333,2.582,2.013866813702766,3,3
Reservation,4,m2026,2005,-1.8443666666666667,-2.2392,1.249737661804802,3,3
Reservation,4,m2026,2010,-5.9684,-5.6369,0.6474761076673025,3,3
Reservation,4,m2026,2015,2.3327,4.2107,3.454774522309669,3,3
Reservation,4,m2026,2020,2.2282333333333333,2.2431,1.0204812214506123,3,3
Reservation,4,sdc_2024,2005,-2.2291000000000003,-2.443,1.2377898569628045,3,3
Reservation,4,sdc_2024,2010,-6.384966666666667,-6.2549,0.8018511166877135,3,3
Reservation,4,sdc_2024,2015,0.9503,2.4659,2.982898000267525,3,3
Reservation,4,sdc_2024,2020,2.5461333333333336,2.8772,1.1280447036059047,3,3
Reservation,5,m2026,2005,-3.0286000000000004,-2.9786,1.2362585692321815,3,3
Reservation,5,m2026,2010,-6.473,-6.1418,0.8026955649559803,3,3
Reservation,5,m2026,2015,18.557566666666666,17.6999,4.444898631390072,3,3
Reservation,5,sdc_2024,2005,-3.494266666666667,-3.1963,1.2790506883362103,3,3
Reservation,5,sdc_2024,2010,-6.964066666666667,-6.8895,0.9900582524949396,3,3
Reservation,5,sdc_2024,2015,16.594966666666668,15.2532,4.014500263212513,3,3
Reservation,6,m2026,2005,-3.689666666666666,-3.1687,1.362988086277108,3,3
