fips,age_group,sex,race,proportion
38003,0-4,female,black_nonhispanic,0.00018521948508983145
38003,0-4,male,aian_nonhispanic,0.0005556584552694943
38003,0-4,female,aian_nonhispanic,0.0005556584552694943
38003,0-4,male,asian_nonhispanic,0.0008334876829042416
38003,0-4,female,asian_nonhispanic,0.0008334876829042416
38003,0-4,male,multiracial_nonhispanic,0.0005556584552694943
38003,0-4,female,multiracial_nonhispanic,0.0015743656232635674
38003,0-4,male,hispanic,0.0012039266530839044
38003,0-4,female,hispanic,0.0005556584552694943
38003,5-9,male,white_nonhispanic,0.022411557695869607
38003,5-9,female,white_nonhispanic,0.02463419151694758
38003,5-9,male,black_nonhispanic,0.0008334876829042416
38003,5-9,female,black_nonhispanic,0.0008334876829042416
38003,5-9,male,aian_nonhispanic,0.001018707167994073
38003,5-9,female,aian_nonhispanic,0.0011113169105389886
38003,5-9,male,asian_nonhispanic,0.00027782922763474715
38003,5-9,female,asian_nonhispanic,0.00018521948508983145
38003,5-9,male,multiracial_nonhispanic,0.0012965363956288201
38003,5-9,female,multiracial_nonhispanic,0.0004630487127245786
38003,5-9,male,hispanic,0.0006482681978144101
38003,5-9,female,hispanic,0.001018707167994073
38003,10-14,male,white_nonhispanic,0.025838118170031486
38003,10-14,female,white_nonhispanic,0.02426375254676792
38003,10-14,male,black_nonhispanic,0.0007408779403593258
38003,10-14,female,black_nonhispanic,0.0009260974254491572
38003,10-14,male,aian_nonhispanic,0.0006482681978144101
38003,10-14,female,aian_nonhispanic,0.0006482681978144101
38003,10-14,male,asian_nonhispanic,0.0003704389701796629
38003,10-14,female,asian_nonhispanic,0.00027782922763474715
38003,10-14,male,multiracial_nonhispanic,0.0006482681978144101
38003,10-14,female,multiracial_nonhispanic,9.260974254491573e-05
38003,10-14,male,hispanic,0.0014817558807186516
38003,10-14,female,hispanic,0.0011113169105389886
38003,15-19,male,white_nonhispanic,0.038062604185960365
38003,15-19,female,white_nonhispanic,0.027875532506019634
38003,15-19,male,black_nonhispanic,0.0015743656232635674
38003,15-19,female,black_nonhispanic,0.0007408779403593258
38003,15-19,male,aian_nonhispanic,0.0006482681978144101
38003,15-19,female,aian_nonhispanic,0.0003704389701796629
38003,15-19,male,asian_nonhispanic,0.001018707167994073
38003,15-19,female,asian_nonhispanic,0.002315243563622893
38003,15-19,male,multiracial_nonhispanic,0.0009260974254491572
38003,15-19,female,multiracial_nonhispanic,0.0013891461381737359
38003,15-19,male,hispanic,0.0014817558807186516
38003,15-19,female,hispanic,0.0014817558807186516
38003,20-24,male,white_nonhispanic,0.029820337099462864
38003,20-24,female,white_nonhispanic,0.028338581218744212
38003,20-24,male,black_nonhispanic,0.0015743656232635674
38003,20-24,female,black_nonhispanic,0.0004630487127245786
38003,20-24,male,aian_nonhispanic,0.0007408779403593258
38003,20-24,female,aian_nonhispanic,0.0004630487127245786
38003,20-24,male,asian_nonhispanic,0.0024078533061678087
38003,20-24,female,asian_nonhispanic,0.0007408779403593258
38003,20-24,male,multiracial_nonhispanic,0.0007408779403593258
38003,20-24,female,multiracial_nonhispanic,0.0005556584552694943
38003,20-24,male,hispanic,0.0019448045934432302
38003,20-24,female,hispanic,0.0007408779403593258
38003,25-29,male,white_nonhispanic,0.025189849972217078
38003,25-29,female,white_nonhispanic,0.018521948508983144
38003,25-29,male,black_nonhispanic,0.0008334876829042416
38003,25-29,female,black_nonhispanic,0.0005556584552694943
38003,25-29,male,aian_nonhispanic,9.260974254491573e-05
38003,25-29,female,aian_nonhispanic,0.0003704389701796629
38003,25-29,male,asian_nonhispanic,0.0003704389701796629
38003,25-29,female,asian_nonhispanic,0.0012965363956288201
38003,25-29,male,multiracial_nonhispanic,0.0007408779403593258
38003,25-29,female,multiracial_nonhispanic,0.0
38003,25-29,male,hispanic,0.0005556584552694943
38003,25-29,female,hispanic,0.0009260974254491572
38003,30-34,male,white_nonhispanic,0.027412483793295056
38003,30-34,female,white_nonhispanic,0.02167067975551028
38003,30-34,male,black_nonhispanic,0.0007408779403593258
38003,30-34,female,black_nonhispanic,0.0008334876829042416
38003,30-34,male,aian_nonhispanic,0.0004630487127245786
38003,30-34,female,aian_nonhispanic,0.0003704389701796629
38003,30-34,male,asian_nonhispanic,0.0003704389701796629
38003,30-34,female,asian_nonhispanic,0.00018521948508983145
38003,30-34,male,multiracial_nonhispanic,0.00018521948508983145
38003,30-34,female,multiracial_nonhispanic,0.0004630487127245786
38003,30-34,male,hispanic,0.0008334876829042416
38003,30-34,female,hispanic,0.00027782922763474715
38003,35-39,male,white_nonhispanic,0.025652898684941656
38003,35-39,female,white_nonhispanic,0.02213372846823486
38003,35-39,male,black_nonhispanic,0.0007408779403593258
38003,35-39,female,black_nonhispanic,0.0005556584552694943
38003,35-39,male,aian_nonhispanic,0.00027782922763474715
38003,35-39,female,aian_nonhispanic,0.00027782922763474715
38003,35-39,male,asian_nonhispanic,0.00027782922763474715
38003,35-39,female,asian_nonhispanic,0.00018521948508983145
38003,35-39,male,multiracial_nonhispanic,0.00027782922763474715
38003,35-39,female,multiracial_nonhispanic,0.00018521948508983145
38003,35-39,male,hispanic,0.0011113169105389886
38003,35-39,female,hispanic,0.0005556584552694943
38003,40-44,male,white_nonhispanic,0.025930727912576404
38003,40-44,female,white_nonhispanic,0.025004630487127245
38003,40-44,male,black_nonhispanic,0.0007408779403593258
