place_fips,MAPE,MedAPE,ME,MaxAPE,n_test_years,AE_terminal,place_name,window,variant_id
3818620,5.621667368821181,6.222329748386186,-5.621667368821181,7.914226253627894,5,7.281088153337663,Deering city,secondary,B-I
3819300,1.8917817602121907,1.9315374561529097,0.7853646688918494,3.6834970451772433,5,3.4381366719521793,Des Lacs city,secondary,B-I
3819420,0.42433286844981677,0.4478083546365564,0.42433286844981677,0.5491045939647243,5,32.75270305811773,Devils Lake city,secondary,B-I
3819580,8.4236297925103,8.205548049758054,-8.4236297925103,13.117463203843513,5,3.8566075833862854,Dickey city,secondary,B-I
3819620,5.839328049763614,5.890484731947419,5.839328049763614,6.871200002972455,5,1765.5548407637725,Dickinson city,secondary,B-I
3819820,17.66525597078736,18.056597580596925,-17.66525597078736,22.868662111854807,5,18.98098955283949,Dodge city,secondary,B-I
3819900,100.0,100.0,-100.0,100.0,5,73.0,Donnybrook city,secondary,B-I
3820020,2.2634061168402977,2.1464928029220136,-0.5811956076167194,4.569611823631739,5,2.5303093266626036,Douglas city,secondary,B-I
3820300,10.118273699302152,10.154262571008937,-10.118273699302152,10.449693304477453,5,29.05014738644732,Drake city,secondary,B-I
3820340,2.531653660332821,2.4824301426014905,2.531653660332821,3.1855785248478194,5,22.999876949401255,Drayton city,secondary,B-I
3820940,6.2964983408533355,6.78504986966465,-6.2964983408533355,8.219187334612965,5,8.371957466727764,Dunn Center city,secondary,B-I
3821020,12.532158828039833,12.40676794821874,-12.532158828039833,14.205755141705225,5,85.94481860731662,Dunseith city,secondary,B-I
3821220,6.543078197485502,5.67932413771242,6.543078197485502,10.08190879081972,5,7.863888856839381,Dwight city,secondary,B-I
3822140,0.3300923955325975,0.18022845777511462,0.3300923955325975,1.1408856482361733,5,0.007394823422032459,Edgeley city,secondary,B-I
3822260,5.864072221730974,6.367003727097133,-5.864072221730974,6.704386091311705,5,12.872421295318475,Edinburg city,secondary,B-I
3822340,4.372689586377299,4.252803773577029,-4.020000822963061,8.550966716526846,5,11.714824401641778,Edmore city,secondary,B-I
3822540,12.801110688583027,12.415984342497913,-12.801110688583027,14.694023960690883,5,4.7020876674210825,Egeland city,secondary,B-I
3823020,7.513317933878886,7.632308610901487,7.513317933878886,8.075087450144226,5,41.21963511377237,Elgin city,secondary,B-I
3823220,1.006352061123776,1.076009733086397,0.570699249912319,1.9345780569393825,5,12.25575085985406,Ellendale city,secondary,B-I
3823340,2.966320480260447,1.5468626624285164,2.3475754152890405,6.978623239955859,5,0.11549153640071808,Elliott city,secondary,B-I
3824060,1.3519017036926524,0.8948838019370661,1.3519017036926524,3.1957397348650747,5,1.9750124862262055,Emerado city,secondary,B-I
3824260,10.127421706157723,10.351734488411648,10.127421706157723,10.99028831933418,5,93.52735359753387,Enderlin city,secondary,B-I
3824540,9.30732308265013,8.242959029458632,-8.33038975100217,18.320459582329672,5,15.938799836626814,Epping city,secondary,B-I
3824780,21.063931658569235,21.462856970822422,-21.063931658569235,23.781375906841536,5,20.927610798020552,Esmond city,secondary,B-I
